City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,tuktoyaktuk,69.4541,-133.0374,258.15,85,75,2.57,CA,1681150785
85,castro,-24.7911,-50.0119,296.0,59,43,1.46,BR,1681150785
86,albany,42.6001,-73.9662,290.94,22,19,1.34,US,1681150505
87,cao bang,22.6667,106.25,293.3,99,99,0.93,VN,1681150520
88,ballangen,68.3428,16.8315,278.27,56,0,1.54,NO,1681150786
89,nouakchott,18.0858,-15.9785,295.11,79,40,8.19,MR,1681150786
90,nizwa,22.9333,57.5333,299.79,32,69,1.14,OM,1681150787
91,bisira,8.5196,-81.7115,295.23,58,93,3.46,PA,1681150787
92,sokoto,13.0609,5.239,306.39,10,94,0.93,NG,1681150787
93,waddan,29.1614,16.139,291.67,23,63,4.29,LY,1681150788
94,caborca,30.5838,-111.101,303.62,9,0,1.1,MX,1681150788
95,nhulunbuy,-12.2333,136.7667,299.49,89,75,0.0,AU,1681150788
96,ukiah,39.1502,-123.2078,296.17,54,0,0.45,US,1681150788
97,pierre,44.3683,-100.351,293.63,41,0,3.58,US,1681150789
98,ucluelet,48.9329,-125.5528,282.64,83,100,2.63,CA,1681150789
99,timra,62.487,17.3257,274.97,87,20,2.57,SE,1681150789
100,dingle,10.9995,122.6711,297.31,83,100,2.34,PH,1681150790
101,new norfolk,-42.7826,147.0587,284.77,80,100,0.95,AU,1681150790
102,pevek,69.7008,170.3133,241.35,100,91,2.24,RU,1681150791
103,fushan,37.4958,121.2581,291.41,56,100,8.31,CN,1681150791
104,burriana,39.889,-0.085,290.9,83,69,0.45,ES,1681150791
105,magan,39.9683,-3.931,298.98,33,92,3.84,ES,1681150791
106,mitchell,43.7094,-98.0298,295.14,24,0,4.63,US,1681150792
107,ajdabiya,30.7554,20.2263,289.29,59,35,6.88,LY,1681150792
108,winnemucca,40.973,-117.7357,296.18,23,0,6.17,US,1681150792
109,topolobampo,25.6,-109.05,301.1,30,0,4.63,MX,1681150706
110,grand gaube,-20.0064,57.6608,298.36,82,100,1.34,MU,1681150793
111,areia branca,-4.9561,-37.1369,299.26,71,100,4.25,BR,1681150793
112,bara,10.3744,10.7288,307.08,20,94,0.98,NG,1681150793
113,mount isa,-20.7333,139.5,287.02,67,86,0.0,AU,1681150793
114,victoria,22.2855,114.1577,297.18,90,99,0.45,HK,1681150554
115,orlik,52.5178,99.825,256.8,91,44,1.75,RU,1681150794
116,toora-khem,52.4675,96.11,264.15,91,55,1.49,RU,1681150794
117,alta floresta,-9.8756,-56.0861,306.05,58,75,2.57,BR,1681150795
118,husavik,66.0449,-17.3389,276.23,98,100,3.62,IS,1681150795
119,mahuta,-10.8667,39.45,294.15,98,41,0.67,TZ,1681150795
120,tuatapere,-46.1333,167.6833,286.64,99,100,2.29,NZ,1681150796
121,sargatskoye,55.6101,73.4972,271.39,75,85,6.67,RU,1681150796
122,birao,10.2849,22.7882,305.84,14,100,1.43,CF,1681150796
123,saint-philippe,-21.3585,55.7679,296.92,83,100,3.29,RE,1681150797
124,mackay,-21.15,149.2,292.97,84,2,3.04,AU,1681150797
125,kaka,37.3482,59.6143,291.06,40,67,1.92,TM,1681150797
126,berdigestyakh,62.0989,126.6992,263.31,96,97,1.72,RU,1681150797
127,sao filipe,14.8961,-24.4956,295.09,69,11,4.76,CV,1681150798
128,suntar,62.1444,117.6319,254.37,99,100,0.07,RU,1681150798
129,maltahohe,-24.8333,16.9833,289.63,24,0,4.98,NA,1681150798
